env_id,makespan,return
4,12603.4,0.79
5,8509.09,1.18
1,14584.98,0.69
5,11090.1,0.9
1,15063.72,0.66
3,13234.44,0.76
3,12723.04,0.79
5,20796.13,0.48
1,14581.76,0.69
5,17987.64,0.56
3,14976.7,0.67
1,10035.98,1.0
0,12612.34,0.79
4,9967.2,1.0
0,16905.68,0.59
0,14173.34,0.71
3,23454.87,0.43
1,13972.2,0.72
5,12722.77,0.79
1,15016.68,0.67
5,8457.34,1.18
5,9304.43,1.07
1,17425.31,0.57
0,13642.47,0.73
2,14479.34,0.69
4,18154.56,0.55
0,18256.1,0.55
5,11450.31,0.87
1,15182.21,0.66
5,16910.32,0.59
1,14523.42,0.69
4,16031.6,0.62
3,16928.45,0.59
1,15501.75,0.65
3,12639.69,0.79
4,9968.26,1.0
3,11280.63,0.89
5,16327.31,0.61
4,13311.14,0.75
5,19480.32,0.51
1,11013.22,0.91
0,12798.8,0.78
5,14050.74,0.71
2,11574.57,0.86
4,9964.8,1.0
3,13101.03,0.76
2,11950.36,0.84
0,12453.51,0.8
3,19142.06,0.52
3,17011.18,0.59
4,15162.82,0.66
1,14478.93,0.69
5,13619.52,0.73
4,16546.77,0.6
3,18051.01,0.55
1,12843.62,0.78
2,10133.52,0.99
1,16064.8,0.62
2,10737.78,0.93
4,10536.32,0.95
0,19032.9,0.53
2,17910.36,0.56
5,19350.01,0.52
1,14153.9,0.71
4,19325.21,0.52
2,14429.83,0.69
5,9923.17,1.01
0,14110.66,0.71
0,19979.08,0.5
3,21775.21,0.46
3,18170.84,0.55
3,15406.08,0.65
5,12821.75,0.78
1,15190.64,0.66
3,16128.54,0.62
2,10116.79,0.99
5,9103.34,1.1
0,13852.12,0.72
5,16524.7,0.61
4,8265.15,1.21
3,15917.22,0.63
3,19819.84,0.5
1,8334.39,1.2
0,14131.83,0.71
0,14245.46,0.7
2,12374.74,0.81
1,13610.85,0.73
0,17921.5,0.56
0,15787.17,0.63
4,10941.21,0.91
5,7919.51,1.26
0,16016.82,0.62
2,9659.97,1.04
5,17051.55,0.59
2,16257.59,0.62
2,8855.88,1.13
1,14233.38,0.7
0,18276.29,0.55
0,21088.05,0.47
5,10127.43,0.99
4,12079.49,0.83
2,10300.97,0.97
2,8442.1,1.18
0,11720.35,0.85
2,9930.48,1.01
0,12771.76,0.78
4,11015.83,0.91
3,17673.24,0.57
5,8553.36,1.17
1,14996.17,0.67
1,16964.93,0.59
2,14049.87,0.71
3,16547.83,0.6
2,8376.83,1.19
4,10925.79,0.92
3,18860.15,0.53
0,14914.0,0.67
5,11225.45,0.89
1,20598.39,0.49
2,13692.93,0.73
1,12861.98,0.78
2,8816.56,1.13
2,9406.64,1.06
2,9687.49,1.03
0,15475.5,0.65
0,15527.23,0.64
0,12958.25,0.77
1,9752.77,1.03
3,11987.24,0.83
4,14982.17,0.67
3,13357.43,0.75
4,13737.36,0.73
5,10534.07,0.95
2,12158.2,0.82
0,15218.69,0.66
1,10497.35,0.95
5,11514.68,0.87
2,12586.21,0.79
0,15652.01,0.64
3,12800.07,0.78
0,10632.69,0.94
4,13885.45,0.72
2,12145.38,0.82
4,11670.97,0.86
5,16941.73,0.59
5,14453.04,0.69
3,13586.87,0.74
5,20947.64,0.48
3,13603.01,0.74
5,7873.78,1.27
5,9813.09,1.02
4,12264.98,0.82
4,11362.34,0.88
3,20052.76,0.5
4,14533.19,0.69
0,14408.2,0.69
5,8486.14,1.18
3,16681.42,0.6
4,11024.45,0.91
4,16927.68,0.59
1,12552.82,0.8
3,15805.35,0.63
1,11534.85,0.87
1,17891.7,0.56
1,10986.44,0.91
4,17820.6,0.56
1,12727.36,0.79
1,13169.05,0.76
4,11599.0,0.86
3,16787.9,0.6
5,10245.14,0.98
2,13200.45,0.76
3,15503.92,0.64
0,15039.67,0.66
2,13686.06,0.73
1,11989.42,0.83
4,14582.31,0.69
4,10941.54,0.91
3,16962.1,0.59
5,13533.46,0.74
4,10959.92,0.91
2,11318.86,0.88
5,9924.19,1.01
5,12508.97,0.8
1,8471.67,1.18
2,13605.5,0.73
1,15173.81,0.66
2,12082.58,0.83
5,20345.37,0.49
2,17563.1,0.57
2,14308.93,0.7
5,19257.1,0.52
5,8311.41,1.2
1,16864.08,0.59
0,14164.16,0.71
3,16612.41,0.6
4,19135.81,0.52
5,10675.02,0.94
4,15646.9,0.64
1,18660.5,0.54
1,17310.0,0.58
5,10121.66,0.99
1,14206.17,0.7
2,10805.97,0.93
0,10297.43,0.97
0,13045.25,0.77
4,23484.19,0.43
5,11901.5,0.84
2,12108.39,0.83
1,15191.0,0.66
3,16271.87,0.61
1,21958.76,0.46
2,13021.25,0.77
1,12656.68,0.79
4,10556.98,0.95
1,14822.15,0.67
4,16280.76,0.61
5,18159.79,0.55
4,19180.84,0.52
0,17355.4,0.58
3,19724.24,0.51
5,8765.17,1.14
4,12806.08,0.78
1,15522.29,0.64
0,13789.97,0.73
0,17338.49,0.58
0,21924.54,0.46
0,16070.01,0.62
0,17164.58,0.58
0,16730.93,0.6
5,18160.12,0.55
4,15962.71,0.63
5,8343.92,1.2
2,16960.33,0.59
3,15520.84,0.64
2,9206.47,1.09
2,8426.49,1.19
3,11748.48,0.85
1,15692.39,0.64
3,15342.75,0.65
5,14352.07,0.7
5,12434.75,0.8
4,8292.53,1.21
4,12839.48,0.78
1,10702.91,0.93
5,11260.13,0.89
2,8946.76,1.12
4,9558.89,1.05
2,8767.22,1.14
2,9706.96,1.03
3,13622.04,0.73
5,12944.58,0.77
1,11621.29,0.86
2,12625.17,0.79
2,8689.01,1.15
5,13163.01,0.76
3,13851.35,0.72
0,11131.77,0.9
1,12680.21,0.79
2,10032.57,1.0
2,10489.84,0.95
2,9859.91,1.01
4,13561.05,0.74
1,11233.39,0.89
4,11943.93,0.84
5,10302.6,0.97
4,14531.8,0.69
2,10811.15,0.92
0,13099.11,0.76
5,12044.42,0.83
2,8788.64,1.14
2,8412.51,1.19
0,13618.68,0.73
2,8517.47,1.17
5,10439.21,0.96
5,17304.22,0.58
5,10148.08,0.99
2,9436.61,1.06
0,9796.23,1.02
4,14366.86,0.7
2,8470.65,1.18
2,9047.47,1.11
1,10740.27,0.93
2,13949.11,0.72
5,13372.15,0.75
1,16155.6,0.62
2,11809.92,0.85
5,12977.88,0.77
3,17214.35,0.58
0,10915.67,0.92
4,12450.64,0.8
0,13336.5,0.75
4,12209.39,0.82
2,12630.12,0.79
3,12168.65,0.82
0,15911.22,0.63
2,13638.16,0.73
0,12344.31,0.81
3,18690.72,0.54
2,14171.9,0.71
3,12624.33,0.79
0,13172.87,0.76
5,12891.43,0.78
3,14475.93,0.69
2,10926.15,0.92
2,17007.94,0.59
3,12014.19,0.83
3,20093.09,0.5
5,10209.88,0.98
0,10575.99,0.95
2,10895.49,0.92
5,17106.82,0.58
1,12487.21,0.8
4,22056.37,0.45
2,13258.28,0.75
4,21505.29,0.47
2,11124.3,0.9
2,14839.37,0.67
1,13003.84,0.77
0,15721.43,0.64
1,14309.62,0.7
1,11818.66,0.85
0,14729.95,0.68
5,17048.33,0.59
1,14179.0,0.71
0,16724.01,0.6
3,15973.56,0.63
3,13606.99,0.73
3,12726.74,0.79
4,16588.32,0.6
1,16674.87,0.6
3,13794.15,0.72
4,13724.0,0.73
4,17863.67,0.56
3,18424.23,0.54
4,14705.81,0.68
1,15712.76,0.64
5,9382.73,1.07
2,9199.94,1.09
4,12192.94,0.82
0,9398.56,1.06
2,9939.72,1.01
4,12775.44,0.78
3,12104.59,0.83
0,14661.24,0.68
5,10504.61,0.95
4,13151.45,0.76
0,12180.06,0.82
4,9421.28,1.06
3,10855.28,0.92
3,12090.16,0.83
0,10507.93,0.95
4,9200.92,1.09
2,12145.77,0.82
5,9864.78,1.01
5,9284.16,1.08
0,10681.72,0.94
1,13381.43,0.75
4,10201.01,0.98
4,11587.76,0.86
3,13376.3,0.75
4,11390.04,0.88
1,14015.66,0.71
2,8300.98,1.2
5,12023.24,0.83
5,10532.9,0.95
4,14572.15,0.69
2,9013.34,1.11
4,13888.03,0.72
2,8817.04,1.13
1,9861.44,1.01
5,9190.47,1.09
4,12989.11,0.77
2,10001.87,1.0
2,11179.3,0.89
4,11121.57,0.9
2,17493.01,0.57
5,9544.19,1.05
4,15635.99,0.64
5,9690.61,1.03
2,8890.66,1.12
2,8842.99,1.13
3,12512.91,0.8
5,10055.66,0.99
4,9066.5,1.1
0,14578.56,0.69
2,14213.17,0.7
2,8304.21,1.2
4,8116.37,1.23
4,11484.77,0.87
0,11831.32,0.85
3,13731.01,0.73
5,10061.08,0.99
3,15730.45,0.64
3,13777.79,0.73
5,8856.98,1.13
5,8251.93,1.21
4,16939.9,0.59
1,9358.05,1.07
4,9607.29,1.04
3,11908.58,0.84
5,8274.95,1.21
5,8927.23,1.12
4,10741.98,0.93
0,10490.87,0.95
2,10671.61,0.94
0,12160.91,0.82
0,11808.82,0.85
4,8696.87,1.15
5,9398.2,1.06
3,13619.23,0.73
3,14186.41,0.7
0,10214.99,0.98
5,13156.72,0.76
3,13076.24,0.76
5,8431.9,1.19
2,9023.69,1.11
3,14806.38,0.68
0,12266.92,0.82
1,13128.76,0.76
4,10690.92,0.94
4,10477.86,0.95
2,10007.3,1.0
1,11398.27,0.88
5,10580.25,0.95
5,8880.31,1.13
4,9889.94,1.01
4,10537.32,0.95
3,10870.44,0.92
4,8456.89,1.18
2,8488.8,1.18
4,11598.52,0.86
5,9553.71,1.05
4,11528.97,0.87
5,10098.53,0.99
5,8930.56,1.12
3,12467.29,0.8
1,9031.23,1.11
1,10109.97,0.99
0,8861.77,1.13
0,12566.31,0.8
1,9735.44,1.03
2,8531.39,1.17
3,9749.62,1.03
5,9945.66,1.01
3,10691.9,0.94
0,11596.71,0.86
1,8538.84,1.17
1,9252.23,1.08
0,10466.98,0.96
1,9353.23,1.07
2,8558.91,1.17
3,14340.94,0.7
1,9047.22,1.11
4,9024.62,1.11
1,9520.08,1.05
3,10477.21,0.95
4,8946.96,1.12
0,9741.5,1.03
4,9113.82,1.1
5,9301.02,1.08
3,11614.29,0.86
0,9631.92,1.04
2,9602.17,1.04
5,9788.33,1.02
3,11476.42,0.87
2,9396.85,1.06
5,8501.11,1.18
5,8832.58,1.13
4,8973.52,1.11
3,9943.75,1.01
2,10489.41,0.95
5,8704.37,1.15
2,9002.11,1.11
2,9330.28,1.07
0,12091.84,0.83
3,9930.86,1.01
5,12308.25,0.81
1,9731.59,1.03
1,8659.52,1.15
2,8346.37,1.2
1,10567.52,0.95
1,8861.84,1.13
3,11075.98,0.9
0,15283.15,0.65
0,9130.93,1.1
1,8932.49,1.12
2,8552.82,1.17
1,8505.47,1.18
5,11642.23,0.86
3,10448.08,0.96
2,8904.35,1.12
3,10687.46,0.94
4,12512.51,0.8
5,10675.01,0.94
3,10781.31,0.93
4,10141.95,0.99
1,11560.08,0.87
0,12098.28,0.83
5,9055.5,1.1
3,13230.4,0.76
5,10560.88,0.95
0,10465.01,0.96
4,14457.16,0.69
4,13384.73,0.75
4,9961.83,1.0
1,13489.32,0.74
4,13609.86,0.73
4,12363.32,0.81
1,17908.47,0.56
1,14652.06,0.68
4,10235.83,0.98
5,12487.07,0.8
3,13656.33,0.73
1,10125.39,0.99
4,8551.28,1.17
1,14766.53,0.68
2,8116.12,1.23
2,13624.76,0.73
1,11621.85,0.86
2,8423.29,1.19
3,12964.47,0.77
1,13966.65,0.72
0,9614.6,1.04
4,11675.65,0.86
3,11555.36,0.87
3,14513.96,0.69
0,12669.92,0.79
5,10564.33,0.95
2,8486.54,1.18
1,11334.6,0.88
2,9931.51,1.01
0,11489.25,0.87
3,9040.38,1.11
5,10693.72,0.94
4,13002.41,0.77
4,8909.25,1.12
1,11921.15,0.84
2,9266.85,1.08
1,10126.7,0.99
2,10887.7,0.92
1,9504.08,1.05
2,9780.08,1.02
0,11353.15,0.88
5,8238.48,1.21
5,8269.14,1.21
0,11255.04,0.89
3,12316.81,0.81
1,9072.05,1.1
2,9562.65,1.05
5,9265.3,1.08
2,9867.05,1.01
3,10284.03,0.97
5,9121.39,1.1
0,14053.46,0.71
4,12438.25,0.8
1,14501.87,0.69
4,9800.08,1.02
1,8168.61,1.22
4,11728.22,0.85
0,11799.12,0.85
3,12283.27,0.81
1,8716.77,1.15
0,11591.62,0.86
3,9943.92,1.01
3,11384.54,0.88
2,10254.33,0.98
5,13345.82,0.75
2,8958.17,1.12
0,10207.51,0.98
3,10930.5,0.91
4,10975.35,0.91
0,9725.92,1.03
5,9307.87,1.07
2,8148.41,1.23
5,10201.82,0.98
3,15757.57,0.63
0,10579.37,0.95
2,8823.43,1.13
1,8745.72,1.14
2,12129.84,0.82
4,9985.45,1.0
3,13665.03,0.73
3,12689.19,0.79
0,12275.56,0.81
1,10313.11,0.97
2,11044.19,0.91
5,11440.65,0.87
4,10410.98,0.96
0,10476.47,0.95
4,9932.01,1.01
1,9307.55,1.07
1,14681.07,0.68
4,13428.59,0.74
4,8873.37,1.13
0,10657.9,0.94
3,13383.96,0.75
0,11838.47,0.84
1,11227.57,0.89
5,10267.36,0.97
2,10160.75,0.98
2,9889.27,1.01
0,13577.78,0.74
2,10484.36,0.95
2,9016.86,1.11
4,12057.75,0.83
0,10088.7,0.99
2,9474.38,1.06
3,11061.02,0.9
3,12717.25,0.79
5,8192.66,1.22
0,9916.7,1.01
1,10636.23,0.94
5,12804.29,0.78
3,13222.28,0.76
5,8425.21,1.19
4,9601.06,1.04
3,10078.45,0.99
0,11356.33,0.88
4,9763.0,1.02
4,13666.62,0.73
5,9417.75,1.06
2,8227.04,1.22
5,10571.66,0.95
5,14602.58,0.68
2,10816.15,0.92
2,8725.71,1.15
0,12055.56,0.83
5,11200.72,0.89
0,15572.39,0.64
2,10602.97,0.94
4,9597.21,1.04
3,12012.53,0.83
4,9845.26,1.02
4,9624.65,1.04
2,14588.43,0.69
0,10090.75,0.99
4,11427.43,0.88
3,11547.79,0.87
1,10425.6,0.96
2,9845.06,1.02
4,10850.42,0.92
5,11614.21,0.86
0,9891.38,1.01
3,10081.92,0.99
1,10164.06,0.98
3,10616.7,0.94
2,8523.64,1.17
4,9290.84,1.08
4,8687.82,1.15
2,8650.52,1.16
4,12369.44,0.81
5,8641.74,1.16
0,10169.09,0.98
2,8177.41,1.22
1,9036.61,1.11
3,11274.59,0.89
4,8786.38,1.14
1,10878.8,0.92
4,8417.98,1.19
4,10002.41,1.0
3,13256.38,0.75
5,8721.13,1.15
0,10418.8,0.96
1,10303.18,0.97
1,13172.86,0.76
2,9073.39,1.1
4,12573.97,0.8
3,10460.09,0.96
5,8634.31,1.16
4,10460.2,0.96
4,14144.46,0.71
4,9641.87,1.04
3,16306.64,0.61
2,8420.04,1.19
5,11268.58,0.89
4,15896.56,0.63
0,18766.94,0.53
5,8784.49,1.14
5,8352.3,1.2
3,16638.4,0.6
4,13214.84,0.76
5,15006.78,0.67
2,8842.38,1.13
1,16136.91,0.62
5,8450.8,1.18
1,10106.68,0.99
3,12458.68,0.8
2,13886.5,0.72
5,14365.78,0.7
4,12501.74,0.8
2,8658.16,1.15
3,18787.89,0.53
2,15361.92,0.65
3,16005.66,0.62
5,11431.5,0.87
0,15044.2,0.66
5,18570.02,0.54
2,11122.69,0.9
5,11465.09,0.87
0,12605.19,0.79
4,8575.42,1.17
3,12277.23,0.81
1,8531.97,1.17
1,9841.22,1.02
2,8699.83,1.15
3,20120.03,0.5
4,10640.98,0.94
0,15299.39,0.65
3,13596.07,0.74
2,13933.67,0.72
4,10985.16,0.91
5,8561.81,1.17
2,8440.63,1.18
0,11113.57,0.9
4,10140.88,0.99
0,11485.19,0.87
0,13630.23,0.73
0,14890.45,0.67
0,12292.09,0.81
1,9866.35,1.01
1,12336.78,0.81
2,15332.75,0.65
2,11779.04,0.85
4,11844.54,0.84
5,11274.45,0.89
2,11423.73,0.88
3,11635.28,0.86
2,9894.79,1.01
3,19771.92,0.51
3,12739.61,0.78
5,8770.0,1.14
4,8804.53,1.14
0,9602.1,1.04
4,11275.1,0.89
3,13463.52,0.74
3,11288.36,0.89
0,12062.79,0.83
1,9096.17,1.1
2,8475.88,1.18
4,8842.77,1.13
2,8173.83,1.22
1,10031.38,1.0
5,8374.14,1.19
4,12707.56,0.79
4,9643.36,1.04
4,12582.32,0.79
4,12262.14,0.82
0,10117.82,0.99
5,8643.6,1.16
0,11886.73,0.84
5,10680.81,0.94
1,15959.38,0.63
0,10191.12,0.98
3,14086.98,0.71
2,8629.8,1.16
2,14562.76,0.69
1,9053.93,1.1
5,9829.36,1.02
3,10193.93,0.98
3,10071.87,0.99
0,12251.12,0.82
0,12253.2,0.82
5,8842.62,1.13
5,19498.96,0.51
0,12881.21,0.78
3,11150.23,0.9
2,8811.17,1.13
0,12516.29,0.8
0,17711.32,0.56
4,20195.69,0.5
0,13172.26,0.76
3,17814.89,0.56
5,8436.49,1.19
3,15942.17,0.63
5,8410.07,1.19
5,14302.61,0.7
1,19332.13,0.52
4,16721.04,0.6
1,9835.33,1.02
0,15265.35,0.66
0,14023.7,0.71
2,8716.13,1.15
4,13387.88,0.75
4,18959.03,0.53
4,9321.22,1.07
5,8990.45,1.11
4,9017.27,1.11
0,10808.94,0.93
1,9294.23,1.08
5,8175.68,1.22
4,9771.72,1.02
3,11305.58,0.88
1,11405.84,0.88
5,9356.91,1.07
4,10769.77,0.93
4,10462.43,0.96
3,10850.71,0.92
5,8456.8,1.18
0,11735.81,0.85
2,8533.42,1.17
0,10739.47,0.93
2,9242.6,1.08
2,9304.04,1.07
5,8337.97,1.2
1,9724.39,1.03
2,9837.19,1.02
0,11828.96,0.85
2,8649.17,1.16
5,8721.4,1.15
2,8648.05,1.16
3,10808.99,0.93
1,11419.05,0.88
4,10563.89,0.95
2,9031.03,1.11
5,9914.95,1.01
4,9802.5,1.02
3,9840.23,1.02
1,9344.0,1.07
1,10955.3,0.91
0,9260.17,1.08
1,10648.36,0.94
3,10603.02,0.94
2,8265.77,1.21
0,14015.58,0.71
0,9849.22,1.02
5,10234.62,0.98
2,8685.77,1.15
1,11729.18,0.85
3,12924.89,0.77
3,11240.1,0.89
0,10903.03,0.92
4,11524.16,0.87
3,17147.73,0.58
5,8756.48,1.14
1,11662.59,0.86
5,8841.33,1.13
5,11162.16,0.9
0,12661.87,0.79
4,11699.31,0.85
2,9791.31,1.02
4,10532.74,0.95
4,8445.36,1.18
3,12922.51,0.77
1,16622.5,0.6
1,16032.38,0.62
2,8430.97,1.19
4,15339.22,0.65
0,13154.44,0.76
0,11566.47,0.86
2,12835.06,0.78
4,13394.42,0.75
1,12510.31,0.8
2,10394.75,0.96
3,11885.53,0.84
0,17286.54,0.58
2,10295.99,0.97
3,9933.93,1.01
2,11505.86,0.87
2,12531.33,0.8
5,8224.61,1.22
4,8147.81,1.23
1,9815.8,1.02
5,9149.81,1.09
0,10662.34,0.94
4,8964.51,1.12
2,8435.52,1.19
1,8955.35,1.12
4,11278.1,0.89
5,9324.09,1.07
0,15283.65,0.65
5,8726.61,1.15
1,12167.73,0.82
2,8577.99,1.17
1,10278.91,0.97
0,12587.7,0.79
5,9346.8,1.07
0,12687.41,0.79
5,11256.43,0.89
1,8474.89,1.18
3,12113.22,0.83
5,8676.89,1.15
3,15387.46,0.65
2,14919.11,0.67
5,11758.58,0.85
0,11364.34,0.88
2,12319.19,0.81
0,11445.83,0.87
4,19988.01,0.5
4,13784.93,0.73
1,12333.02,0.81
2,13015.01,0.77
2,10407.39,0.96
3,18581.09,0.54
2,13540.54,0.74
1,19084.98,0.52
4,18382.21,0.54
4,20587.32,0.49
3,18976.44,0.53
2,19828.89,0.5
5,20397.06,0.49
2,12024.7,0.83
4,17776.25,0.56
5,11879.6,0.84
1,9799.06,1.02
5,11046.89,0.91
3,9827.44,1.02
1,16574.57,0.6
1,8971.89,1.11
5,10911.56,0.92
5,9420.47,1.06
5,9237.24,1.08
4,9751.28,1.03
1,8827.27,1.13
0,13119.92,0.76
4,9260.87,1.08
0,9477.6,1.06
0,10832.66,0.92
0,11575.32,0.86
4,8937.24,1.12
2,8530.6,1.17
5,9716.13,1.03
0,9699.07,1.03
5,11090.95,0.9
3,12680.42,0.79
1,11176.64,0.89
3,13284.48,0.75
1,10377.04,0.96
0,10109.77,0.99
2,9024.98,1.11
1,10802.53,0.93
0,8959.61,1.12
3,11041.85,0.91
2,10114.87,0.99
3,16248.86,0.62
1,10083.4,0.99
5,8941.84,1.12
1,12216.49,0.82
0,9881.54,1.01
3,14360.42,0.7
2,10345.0,0.97
2,9134.71,1.09
0,13614.09,0.73
0,12373.16,0.81
2,11024.63,0.91
5,8422.74,1.19
2,8632.62,1.16
0,13763.69,0.73
1,9640.46,1.04
3,11043.92,0.91
3,10808.78,0.93
3,11195.13,0.89
3,13253.95,0.75
4,13233.94,0.76
5,8386.96,1.19
0,12069.76,0.83
5,8761.65,1.14
3,12553.73,0.8
2,8261.95,1.21
2,8790.38,1.14
1,8900.41,1.12
5,8487.89,1.18
5,9966.03,1.0
1,9659.74,1.04
4,8552.2,1.17
4,11072.39,0.9
0,10893.55,0.92
4,9003.05,1.11
5,8461.52,1.18
0,9795.74,1.02
1,11645.22,0.86
4,8680.39,1.15
5,8793.77,1.14
4,10512.1,0.95
1,9374.2,1.07
0,10343.2,0.97
4,9356.24,1.07
5,9336.93,1.07
1,10009.17,1.0
4,7938.83,1.26
5,8953.92,1.12
0,9693.94,1.03
5,8526.36,1.17
4,9418.44,1.06
0,9741.27,1.03
0,10002.96,1.0
3,10642.98,0.94
4,10297.56,0.97
5,8960.67,1.12
4,8839.39,1.13
5,8590.95,1.16
2,9454.11,1.06
5,8861.83,1.13
3,10068.11,0.99
3,10563.48,0.95
0,9882.91,1.01
1,9749.5,1.03
5,9234.75,1.08
0,10584.12,0.94
4,9490.36,1.05
5,18523.95,0.54
2,11283.19,0.89
2,8940.88,1.12
1,11629.08,0.86
5,8527.65,1.17
3,13720.01,0.73
2,9330.61,1.07
1,9172.85,1.09
5,9718.91,1.03
3,11318.41,0.88
2,9686.14,1.03
3,13169.99,0.76
2,8390.67,1.19
1,10312.57,0.97
2,8434.67,1.19
4,9015.14,1.11
0,10584.12,0.94
4,10950.82,0.91
0,11874.19,0.84
3,9761.88,1.02
4,9178.6,1.09
2,9348.85,1.07
5,10982.76,0.91
0,9036.68,1.11
2,8030.45,1.25
5,9405.89,1.06
1,10022.17,1.0
1,8684.99,1.15
2,9359.33,1.07
5,8897.2,1.12
5,8882.96,1.13
4,10314.76,0.97
4,9570.84,1.04
0,10403.22,0.96
0,9721.51,1.03
2,8186.48,1.22
3,10181.21,0.98
5,8747.76,1.14
3,10634.62,0.94
3,9915.5,1.01
0,10128.22,0.99
5,9187.4,1.09
2,9592.29,1.04
0,11560.62,0.87
5,8838.53,1.13
2,8691.4,1.15
3,9093.36,1.1
5,9471.44,1.06
2,8801.0,1.14
2,8846.28,1.13
2,8619.03,1.16
5,8252.21,1.21
2,8406.92,1.19
1,9351.29,1.07
5,8688.15,1.15
1,10166.57,0.98
2,8785.7,1.14
0,9682.5,1.03
5,8565.18,1.17
4,10944.05,0.91
3,10805.65,0.93
5,8974.63,1.11
3,10354.25,0.97
0,10294.92,0.97
2,9314.13,1.07
0,10287.66,0.97
0,10464.72,0.96
5,8724.31,1.15
3,9985.7,1.0
1,8609.4,1.16
0,10650.1,0.94
3,10915.98,0.92
2,8848.06,1.13
5,8614.66,1.16
5,9528.39,1.05
3,11429.15,0.87
5,8430.47,1.19
2,8493.77,1.18
0,9993.12,1.0
5,8736.12,1.14
1,9451.8,1.06
2,9094.55,1.1
3,10310.82,0.97
4,12939.86,0.77
1,9399.31,1.06
1,9453.9,1.06
1,8394.54,1.19
1,9854.32,1.01
1,11950.37,0.84
3,10032.27,1.0
2,8497.81,1.18
3,10102.41,0.99
4,9560.64,1.05
2,8843.72,1.13
1,9817.56,1.02
1,8718.92,1.15
3,10255.3,0.98
5,8285.22,1.21
1,9338.32,1.07
0,11187.37,0.89
5,9229.21,1.08
